Time (s);Gyroscope X (deg/s);Gyroscope Y (deg/s);Gyroscope Z (deg/s);Accelerometer X (g);Accelerometer Y (g);Accelerometer Z (g);Magnetometer X (uT);Magnetometer Y (uT);Magnetometer Z (uT);Barometer (hPa)
0,81785202;0,1548875;-0,2106984;-0,5911228;-0,9133251;0,3433181;-0,1721465;44,93137;9,377246;8,907833;1006,25
0,838107586;0,1547122;-0,03248021;-0,5895813;-0,917181;0,3336398;-0,1702653;44,93137;9,377246;8,907833;1006,252
0,858363152;-0,2163678;0,1453278;-0,2828113;-0,9157049;0,3317063;-0,1688524;44,93137;9,377246;8,907833;1006,252
0,878619194;-0,1540104;0,08548479;0,0233035;-0,9148051;0,3316996;-0,1746456;45,58359;9,059214;8,073182;1006,253
0,89887476;0,09378888;0,08519571;-0,03780917;-0,9129621;0,3389503;-0,1823112;45,58359;9,059214;8,073182;1006,253
0,919130325;0,2174346;-0,09304285;-0,2821994;-0,9105057;0,3423419;-0,1798967;45,29901;9,741177;8,897307;1006,255
0,939382553;-0,1546382;-0,1521197;-0,09827092;-0,9143614;0,3321796;-0,1780198;45,29901;9,741177;8,897307;1006,255
0,959638596;0,1545691;-0,09242732;-0,1590208;-0,9182135;0,3360534;-0,1750522;45,28884;9,064615;8,522602;1006,255
0,979893684;-0,09282358;-0,03308972;-0,03664779;-0,9142593;0,3409015;-0,1692667;45,28884;9,064615;8,522602;1006,255
1,000149727;-0,03085399;0,08561432;-0,03647899;-0,9142414;0,3409033;-0,1678209;45,28884;9,064615;8,522602;1006,257
1,017873764;0,1547926;-0,03312026;-0,0362068;-0,9128436;0,3505778;-0,172086;45,29901;9,741177;8,897307;1006,257
1,038128853;-0,03113605;-0,03314894;-0,3412906;-0,9161977;0,3336414;-0,1693117;45,29901;9,741177;8,897307;1006,257
1,058384895;0,1546764;-0,03321479;-0,279418;-0,9172043;0,3326696;-0,1722016;45,29901;9,741177;8,897307;1006,257
1,078640461;-0,09277494;-0,09251644;-0,2788701;-0,9163045;0,3326629;-0,1779949;45,28884;9,064615;8,522602;1006,257
1,13940382;0,154443;-0,09252749;-0,1550869;-0,9161977;0,3336414;-0,1693117;45,60522;9,737659;8,890764;1006,257
1,159659863;-0,03142647;0,1448722;-0,154544;-0,9143242;0,3297633;-0,1751502;44,92173;9,743784;8,525551;1006,258
1,179914951;-0,03121157;0,08538432;-0,215594;-0,9129015;0,3375043;-0,1775052;44,92173;9,743784;8,525551;1006,258
1,200170994;0,03060336;0,1447972;0,02906781;-0,918685;0,3423465;-0,1735445;44,92173;9,743784;8,525551;1006,263
1,217895031;-0,03143362;-0,1520173;-0,09304664;-0,9167365;0,3428318;-0,1730788;45,67811;10,10699;9,329658;1006,263
1,23815012;0,03057618;0,02627709;-0,09262108;-0,9117804;0,3263876;-0,1660502;45,67811;10,10699;9,329658;1006,263
1,258406162;-0,1547882;0,0855775;-0,03127689;-0,9172211;0,3307319;-0,1736649;45,28884;9,064615;8,522602;1006,258
1,278662205;-0,2162722;0,02582858;-0,03129429;-0,9158007;0,3423446;-0,1759849;45,28884;9,064615;8,522602;1006,258
1,29891777;0,09326461;-0,03356537;-0,1534967;-0,913907;0,3447605;-0,1798389;45,28884;9,064615;8,522602;1006,258
1,319173336;0,3405597;-0,2708721;-0,3364654;-0,9123468;0,3418672;-0,171688;45,60503;9,369506;8,893438;1006,258
1,339425087;0,1544948;0,02626723;-0,457729;-0,9142299;0,3317086;-0,1674221;45,60503;9,369506;8,893438;1006,257
1,35968113;0,03038115;0,2042818;-0,2734751;-0,9142291;0,3302567;-0,1674352;45,28884;9,064615;8,522602;1006,257
1,379936218;-0,03129574;0,144533;-0,1509682;-0,9152215;0,3355782;-0,1688226;45,28884;9,064615;8,522602;1006,258
1,400192261;0,03073303;0,2036297;-0,1510305;-0,9172677;0,3389552;-0,1769639;45,28884;9,064615;8,522602;1006,258
1,417916298;0,09246035;0,2034992;-0,08974063;-0,9143759;0,3365341;-0,1789443;45,29882;9,373024;8,899981;1006,257
